ID,Seed,ID,FF weight sparsity,Activation sparsity,Num segments,Accuracy,std
segment_search num_segments=10,294,1,0.5,0.1,10,0.9505800008773804,
segment_search num_segments=10,384,1,0.5,0.1,10,0.9433099627494812,
segment_search num_segments=10,671,1,0.5,0.1,10,0.9447900056838989,
segment_search num_segments=10,1823,1,0.5,0.1,10,0.9435999989509583,
segment_search num_segments=10,2803,1,0.5,0.1,10,0.9450699687004089,
segment_search num_segments=10,3371,1,0.5,0.1,10,0.9402599930763245,
segment_search num_segments=10,4273,1,0.5,0.1,10,0.9433299899101257,
segment_search num_segments=10,5199,1,0.5,0.1,10,0.9409099817276001,
segment_search num_segments=10,5716,1,0.5,0.1,10,0.9510999917984009,
segment_search num_segments=10,8115,1,0.5,0.1,10,0.9477300047874451,
segment_search num_segments=100,1435,1,0.5,0.1,100,0.9521299600601196,
segment_search num_segments=100,1538,1,0.5,0.1,100,0.9546099901199341,
segment_search num_segments=100,3024,1,0.5,0.1,100,0.9496099948883057,
segment_search num_segments=100,3933,1,0.5,0.1,100,0.9505499601364136,
segment_search num_segments=100,3998,1,0.5,0.1,100,0.9560699462890625,
segment_search num_segments=100,5066,1,0.5,0.1,100,0.9511299729347229,
segment_search num_segments=100,5797,1,0.5,0.1,100,0.9419999718666077,
segment_search num_segments=100,6632,1,0.5,0.1,100,0.9554499983787537,
segment_search num_segments=100,6752,1,0.5,0.1,100,0.9466099739074707,
segment_search num_segments=100,8303,1,0.5,0.1,100,0.9528399705886841,
segment_search num_segments=14,1183,1,0.5,0.1,14,0.9484899640083313,
segment_search num_segments=14,1276,1,0.5,0.1,14,0.9496899843215942,
segment_search num_segments=14,1453,1,0.5,0.1,14,0.9513799548149109,
segment_search num_segments=14,1965,1,0.5,0.1,14,0.9471399784088135,
segment_search num_segments=14,3124,1,0.5,0.1,14,0.9483499526977539,
segment_search num_segments=14,4182,1,0.5,0.1,14,0.9422899484634399,
segment_search num_segments=14,6865,1,0.5,0.1,14,0.9549499750137329,
segment_search num_segments=14,7333,1,0.5,0.1,14,0.940809965133667,
segment_search num_segments=14,7780,1,0.5,0.1,14,0.9519199728965759,
segment_search num_segments=14,9977,1,0.5,0.1,14,0.9462499618530273,
segment_search num_segments=2,2117,1,0.5,0.1,2,0.944350004196167,
segment_search num_segments=2,2525,1,0.5,0.1,2,0.9317799806594849,
segment_search num_segments=2,3012,1,0.5,0.1,2,0.9381600022315979,
segment_search num_segments=2,4937,1,0.5,0.1,2,0.9340899586677551,
segment_search num_segments=2,5174,1,0.5,0.1,2,0.9328999519348145,
segment_search num_segments=2,5532,1,0.5,0.1,2,0.9376399517059326,
segment_search num_segments=2,6714,1,0.5,0.1,2,0.9367199540138245,
segment_search num_segments=2,7215,1,0.5,0.1,2,0.9344399571418762,
segment_search num_segments=2,8511,1,0.5,0.1,2,0.9317899942398071,
segment_search num_segments=2,9506,1,0.5,0.1,2,0.936199963092804,
segment_search num_segments=20,1193,1,0.5,0.1,20,0.9463399648666382,
segment_search num_segments=20,1705,1,0.5,0.1,20,0.9508900046348572,
segment_search num_segments=20,3855,1,0.5,0.1,20,0.9498800039291382,
segment_search num_segments=20,4282,1,0.5,0.1,20,0.9464799761772156,
segment_search num_segments=20,5265,1,0.5,0.1,20,0.9488799571990967,
segment_search num_segments=20,5466,1,0.5,0.1,20,0.9501899480819702,
segment_search num_segments=20,6218,1,0.5,0.1,20,0.9491499662399292,
segment_search num_segments=20,7266,1,0.5,0.1,20,0.9503799676895142,
segment_search num_segments=20,8898,1,0.5,0.1,20,0.9481299519538879,
segment_search num_segments=20,9784,1,0.5,0.1,20,0.9548299908638,
segment_search num_segments=3,187,1,0.5,0.1,3,0.9386999607086182,
segment_search num_segments=3,1042,1,0.5,0.1,3,0.9370799660682678,
segment_search num_segments=3,2164,1,0.5,0.1,3,0.9401800036430359,
segment_search num_segments=3,2421,1,0.5,0.1,3,0.9326099753379822,
segment_search num_segments=3,3818,1,0.5,0.1,3,0.9415599703788757,
segment_search num_segments=3,5343,1,0.5,0.1,3,0.941349983215332,
segment_search num_segments=3,6213,1,0.5,0.1,3,0.9352899789810181,
segment_search num_segments=3,6703,1,0.5,0.1,3,0.9288299679756165,
segment_search num_segments=3,8653,1,0.5,0.1,3,0.9424600005149841,
segment_search num_segments=3,9061,1,0.5,0.1,3,0.9392099976539612,
segment_search num_segments=30,246,1,0.5,0.1,30,0.9486099481582642,
segment_search num_segments=30,1248,1,0.5,0.1,30,0.9493199586868286,
segment_search num_segments=30,5048,1,0.5,0.1,30,0.9480800032615662,
segment_search num_segments=30,5219,1,0.5,0.1,30,0.9518399834632874,
segment_search num_segments=30,5806,1,0.5,0.1,30,0.9536100029945374,
segment_search num_segments=30,6949,1,0.5,0.1,30,0.9485999941825867,
segment_search num_segments=30,7639,1,0.5,0.1,30,0.9559899568557739,
segment_search num_segments=30,8594,1,0.5,0.1,30,0.950939953327179,
segment_search num_segments=30,8809,1,0.5,0.1,30,0.9477599859237671,
segment_search num_segments=30,8921,1,0.5,0.1,30,0.944659948348999,
segment_search num_segments=5,2765,1,0.5,0.1,5,0.942389965057373,
segment_search num_segments=5,3232,1,0.5,0.1,5,0.941029965877533,
segment_search num_segments=5,5244,1,0.5,0.1,5,0.9438999891281128,
segment_search num_segments=5,5376,1,0.5,0.1,5,0.9395299553871155,
segment_search num_segments=5,6236,1,0.5,0.1,5,0.9413399696350098,
segment_search num_segments=5,6735,1,0.5,0.1,5,0.9451999664306641,
segment_search num_segments=5,7472,1,0.5,0.1,5,0.9439599514007568,
segment_search num_segments=5,8249,1,0.5,0.1,5,0.9350199699401855,
segment_search num_segments=5,8411,1,0.5,0.1,5,0.9465799927711487,
segment_search num_segments=5,9321,1,0.5,0.1,5,0.944350004196167,
segment_search num_segments=50,1331,1,0.5,0.1,50,0.9498599767684937,
segment_search num_segments=50,1387,1,0.5,0.1,50,0.9487299919128418,
segment_search num_segments=50,1893,1,0.5,0.1,50,0.94610995054245,
segment_search num_segments=50,2673,1,0.5,0.1,50,0.9538499712944031,
segment_search num_segments=50,2709,1,0.5,0.1,50,0.9521299600601196,
segment_search num_segments=50,4688,1,0.5,0.1,50,0.938510000705719,
segment_search num_segments=50,5674,1,0.5,0.1,50,0.9480899572372437,
segment_search num_segments=50,5826,1,0.5,0.1,50,0.9487599730491638,
segment_search num_segments=50,5987,1,0.5,0.1,50,0.9461199641227722,
segment_search num_segments=50,8976,1,0.5,0.1,50,0.9494400024414062,
segment_search num_segments=7,1118,1,0.5,0.1,7,0.9452199935913086,
segment_search num_segments=7,2668,1,0.5,0.1,7,0.9450899958610535,
segment_search num_segments=7,4748,1,0.5,0.1,7,0.9474499821662903,
segment_search num_segments=7,4891,1,0.5,0.1,7,0.9377599954605103,
segment_search num_segments=7,5985,1,0.5,0.1,7,0.9397799968719482,
segment_search num_segments=7,6394,1,0.5,0.1,7,0.9457199573516846,
segment_search num_segments=7,6509,1,0.5,0.1,7,0.9454799890518188,
segment_search num_segments=7,6720,1,0.5,0.1,7,0.9460699558258057,
segment_search num_segments=7,7254,1,0.5,0.1,7,0.9508699774742126,
segment_search num_segments=7,7829,1,0.5,0.1,7,0.9380599856376648,
