epoch,loss,top1,top5
1,9.2752e+00,  6.77, 18.63
2,8.4029e+00, 22.43, 45.29
3,3.3479e+00, 29.45, 54.98
4,2.7797e+00, 38.78, 65.12
5,2.6647e+00, 41.78, 68.18
6,2.3290e+00, 46.82, 72.83
7,2.2256e+00, 48.76, 74.53
8,2.1268e+00, 50.79, 76.39
9,2.0163e+00, 53.20, 78.15
10,2.0793e+00, 52.12, 77.33
11,2.1568e+00, 50.19, 75.81
12,1.9667e+00, 53.79, 78.93
13,2.2599e+00, 50.90, 75.44
14,2.0987e+00, 51.45, 76.90
15,1.9256e+00, 54.61, 79.53
16,1.8539e+00, 56.04, 80.58
17,1.8210e+00, 56.60, 81.15
18,1.7619e+00, 58.15, 82.00
19,1.9811e+00, 54.21, 78.48
20,1.8774e+00, 56.17, 80.12
21,1.8216e+00, 57.24, 81.28
22,1.6964e+00, 59.41, 83.08
23,1.7435e+00, 58.43, 82.45
24,1.7381e+00, 58.47, 82.59
25,1.6444e+00, 60.27, 83.78
26,1.6998e+00, 59.18, 83.05
27,1.6370e+00, 60.43, 83.75
28,1.6820e+00, 59.87, 83.24
29,1.7425e+00, 58.66, 82.37
30,1.5793e+00, 62.14, 84.91
31,1.1671e+00, 70.67, 90.11
32,1.1451e+00, 71.26, 90.36
33,1.1328e+00, 71.43, 90.56
34,1.1216e+00, 71.70, 90.63
35,1.1107e+00, 72.02, 90.82
36,1.1087e+00, 71.96, 90.78
37,1.1023e+00, 72.22, 90.92
38,1.0939e+00, 72.41, 90.98
39,1.0943e+00, 72.44, 91.04
40,1.1064e+00, 72.15, 90.89
41,1.0870e+00, 72.56, 91.03
42,1.0903e+00, 72.67, 91.09
43,1.0836e+00, 72.78, 91.09
44,1.0790e+00, 72.89, 91.12
45,1.0819e+00, 72.84, 91.22
46,1.0884e+00, 72.61, 91.18
47,1.0786e+00, 72.94, 91.30
48,1.0857e+00, 72.70, 91.05
49,1.1103e+00, 72.24, 90.84
50,1.1030e+00, 72.49, 90.91
51,1.1076e+00, 72.15, 90.78
52,1.1047e+00, 72.41, 91.00
53,1.0862e+00, 72.78, 91.13
54,1.1255e+00, 71.86, 90.57
55,1.1053e+00, 72.41, 90.95
56,1.0953e+00, 72.61, 91.02
57,1.0923e+00, 72.57, 90.96
58,1.0976e+00, 72.77, 91.07
59,1.1030e+00, 72.39, 91.00
60,1.1582e+00, 71.17, 90.29
61,1.0160e+00, 74.56, 91.98
62,1.0108e+00, 74.62, 92.06
63,1.0079e+00, 74.60, 92.12
64,1.0067e+00, 74.67, 92.13
65,1.0053e+00, 74.73, 92.17
66,1.0045e+00, 74.72, 92.21
67,1.0057e+00, 74.71, 92.18
68,1.0048e+00, 74.82, 92.17
69,1.0007e+00, 74.74, 92.26
70,1.0033e+00, 74.78, 92.23
71,1.0061e+00, 74.78, 92.13
72,1.0009e+00, 74.91, 92.35
73,1.0021e+00, 74.82, 92.30
74,1.0066e+00, 74.78, 92.23
75,1.0037e+00, 74.84, 92.24
76,1.0013e+00, 74.84, 92.27
77,1.0038e+00, 74.78, 92.35
78,1.0019e+00, 75.02, 92.24
79,1.0015e+00, 74.95, 92.24
80,9.9971e-01, 75.06, 92.26
81,1.0016e+00, 74.79, 92.28
82,1.0038e+00, 74.91, 92.21
83,1.0030e+00, 74.88, 92.19
84,1.0013e+00, 74.87, 92.27
85,1.0018e+00, 74.93, 92.29
86,1.0043e+00, 74.89, 92.30
87,1.0026e+00, 74.83, 92.21
88,1.0032e+00, 74.80, 92.25
89,1.0042e+00, 74.71, 92.29
90,1.0075e+00, 74.83, 92.17
